recipe_name,prep_time,cook_time,total_time,ingredients_list,direction_list,calories,grams_of_fat,grams_of_carbs,grams_of_protein
My Kid's Favorite Zucchini Bread,20 mins, 1 hr 5 mins,10 mins,"all-purpose flour,whole wheat flour,white sugar,light brown sugar,baking soda,ground nutmeg,ground cinnamon,salt,vanilla extract,eggs, lightly beaten,vegetable oil,lemon juice,shredded zucchini, squeezed dry"," Preheat the oven to 325 degrees F (165 degrees C).
, Mix flours, sugars, baking soda, nutmeg, cinnamon, and salt together in a large bowl. Fold in the following ingredients, one at a time and with a rubber spatula, in the order listed: vanilla, eggs, vegetable oil, lemon juice, and zucchini. Divide the mixture between two loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 65 to 75 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",262,12g ,35g ,4g 
Zucchini Yogurt Multigrain Muffins,15 mins,20 mins,20 mins,"all-purpose flour,whole wheat flour,oat flour,ground cinnamon,salt,baking soda,baking powder,ground nutmeg,plain yogurt,white sugar,honey,eggs,vegetable oil,unsweetened applesauce,vanilla extract,shredded zucchini,shredded carrots,chopped pecans (Optional),raisins (Optional)"," Preheat the oven to 400 degrees F (200 degrees C). Lightly grease 24 muffin cups.
, Sift all-purpose flour, whole wheat flour, oat flour, cinnamon, salt, baking powder, baking soda, and nutmeg together in a bowl. Beat yogurt, sugar, honey, eggs, vegetable oil, applesauce, and vanilla together in a separate bowl. Stir flour mixture into yogurt mixture; fold in zucchini, carrots, pecans, and raisins. Scoop into the prepared muffin cups.
, Bake in the preheated oven until a toothpick inserted into the centers comes out clean, 18 to 20 minutes. Cool 10 minutes before transferring to wire racks to cool completely.
",207,8g ,33g ,4g 
Zucchini-Carrot-Banana Whole Wheat Bread,20 mins,50 mins, 1 hr 10 mins,"very ripe banana,eggs, beaten,white sugar,honey,oil,vanilla extract,whole wheat flour,all-purpose flour,ground cinnamon,baking soda,baking powder,salt,zucchini, grated,carrot, grated,semisweet chocolate chips (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease a loaf pan.
, Mash banana in a large bowl. Whisk in eggs, sugar, honey, oil, and vanilla extract.
, Combine whole wheat flour, all-purpose flour, cinnamon, baking soda, baking powder, and salt in a separate bowl. Stir into the banana mixture until batter is moistened.
, Stir zucchini, carrot, and chocolate chips into the batter until evenly distributed. Pour batter into the prepared pan.
, Bake in the preheated oven until a knife inserted into the center comes out clean, 50 to 60 minutes.
",269,10g ,43g ,5g 
Ellen's Lemon Zucchini Bread,30 mins, 1 hr,10 mins,"white sugar,eggs,white sugar,vegetable oil,vanilla extract,lemon extract,lemon, zested,flour,salt,baking soda,baking powder,grated zucchini"," Preheat an oven to 350 degrees F (175 degrees C). Grease 2 loaf pans; sprinkle sugar into the bottom and on the sides of the greased pans.
, Beat the eggs, 2 cups sugar, vegetable oil, vanilla extract, lemon extract, and lemon zest together in a large bowl.
, Mix the flour, salt, baking soda, and baking powder together in a separate bowl; add to the egg mixture and stir until the batter is thick. Fold the zucchini into the batter. Pour the batter into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",215,10g ,29g ,3g 
Glazed Lemon Zucchini Bread,20 mins,40 mins,10 mins,"cake flour,baking powder,salt,eggs,white sugar,canola oil,buttermilk,lemon juice,lemon, zested,grated zucchini,powdered sugar,lemon juice,milk"," Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.
, Mix flour, baking powder, and salt together in a medium bowl and set aside.
, Beat eggs in a large bowl. Add sugar and oil until well blended. Add buttermilk, lemon juice, and lemon zest and blend together. Fold in zucchini until it is mixed well. Add flour mixture and blend together until well combined. Pour batter into the prepared pan.
, Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, 40 to 45 minutes.
, While loaf is still warm, combine powdered sugar, lemon juice, and milk in a bowl for glaze and spoon over bread. Let glaze set up before cutting and serving.
",439,16g ,70g ,5g 
Best Lemon Zucchini Bread,15 mins, 1 hr, 1 hr 15 mins,"all-purpose flour,baking powder,baking soda,salt,ground nutmeg,egg,white sugar,milk,vegetable oil,lemon, zested and juiced,grated and squeezed zucchini"," Preheat the oven to 350 degrees F (175 degrees C). Grease a loaf pan.
, Mix flour, baking powder, baking soda, salt, and nutmeg together in a bowl.
, Beat egg with sugar, milk, oil, and lemon juice in another bowl. Pour into the dry ingredients and add lemon zest and zucchini. Stir with a fork until moist, but very thick. Pour into the prepared pan and smooth the top.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 60 to 70 minutes.
",220,10g ,31g ,3g 
Zucchini Gingerbread,15 mins,50 mins,10 mins,"cooking spray,brown sugar,vanilla yogurt,molasses,vegetable oil,eggs,ground cinnamon,ground ginger,ground nutmeg,ground cloves,baking soda,baking powder,salt,shredded zucchini,all-purpose flour"," Preheat the oven to 325 degrees F (165 degrees C). Spray two 9x5-inch loaf pans with cooking spray.
, Mix brown sugar, yogurt, molasses, vegetable oil, and eggs together in a large bowl until thoroughly combined. Stir in cinnamon, ginger, nutmeg, cloves, baking soda, baking powder, and salt. Gently mix in shredded zucchini, then stir in flour. Pour batter into the prepared loaf pans.
, Bake in the preheated oven until browned, springy to the touch, and a toothpick inserted into the center comes out clean, 50 to 60 minutes. Cool in the pans for 10 minutes, then transfer to a wire rack to finish cooling.
",163,4g ,29g ,4g 
Pineapple Zucchini Loaf,15 mins, 1 hr,10 mins,"white sugar,vegetable oil,eggs,vanilla extract,grated zucchini,crushed pineapple,all-purpose flour,baking soda,ground cinnamon,salt,ground nutmeg,baking powder,raisins,chopped walnuts"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Beat sugar, oil, eggs, and vanilla together in a mixing bowl until thick. Stir in zucchini and pineapple, then mix in flour, baking soda, cinnamon, salt, nutmeg, and baking powder until incorporated. Fold in raisins and walnuts. Pour batter into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center of each loaf comes out clean, about 1 hour. Cool in the pan for 10 minutes, then turn out onto a wire rack to finish cooling.
",328,16g ,44g ,4g 
Super Duper Zucchini Muffins,20 mins,15 mins,35 mins,"all-purpose flour,white sugar,baking powder,ground cinnamon,ground nutmeg,baking soda,salt,shortening,shredded zucchini,sour milk,eggs, lightly beaten,vanilla extract,chopped walnuts,brown sugar"," Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 12-cup muffin pan or line with paper liners.
, Combine flour and sugar in a large bowl. Stir in baking powder, cinnamon, nutmeg, baking soda, and salt. Cut in shortening until mixture resembles coarse crumbs. Make a well in the center and pour in zucchini, milk, eggs, and vanilla. Mix to combine, then fold in walnuts. Spoon batter into the prepared muffin cups, filling each 2/3 to 3/4 full. Sprinkle tops with brown sugar.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 15 to 20 minutes. Allow to cool.
",295,13g ,41g ,5g 
Sophie's Zucchini Bread,10 mins, 1 hr, 1 hr 10 mins,"all-purpose flour,cinnamon,salt,baking soda,baking powder,eggs,white sugar,vegetable oil,vanilla extract,grated zucchini,chopped walnuts (Optional)"," Preheat the oven to 350 degrees F (175 degrees C).
, Sift together flour, cinnamon, salt, baking soda, and baking powder. Set aside.
, Beat eggs in a large bowl. Add sugar, oil, and vanilla; mix well. Stir in zucchini, then mix in flour mixture until well combined. Stir in nuts. Pour into 2 ungreased loaf pans.
, Bake in the preheated oven until a toothpick inserted into the centers of each loaf comes out clean, about 1 hour.
",248,13g ,30g ,3g 
Spiced Zucchini Carrot Muffins,25 mins,20 mins,45 mins,"butter, softened,white sugar,eggs,grated zucchini,grated carrots,vanilla extract,all-purpose flour,ground nutmeg,ground cinnamon,salt,baking soda,baking powder,raisins (Optional),chopped walnuts (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease 21 muffin cups or line with paper liners.
, Beat butter, sugar, and eggs in a large bowl with an electric mixer until creamy. Beat in zucchini, carrots, and vanilla.
, Combine flour, nutmeg, cinnamon, salt, baking soda, and baking powder in a separate bowl. Add flour mixture to butter mixture; mix until combined. Stir in raisins and walnuts. Pour batter into the prepared muffin cups.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 17 minutes.
",227,12g ,28g ,4g 
Lemon Pistachio Zucchini Bread,25 mins,45 mins, 1 hr,"cooking spray,all-purpose flour,baking soda,salt,eggs,white sugar,vegetable oil,plain yogurt,small lemon, zested,lemon juice,vanilla extract,grated zucchini,chopped pistachio nuts"," Preheat oven to 350 degrees F (175 degrees C). Spray two 9x5-inch loaf pans with cooking spray.
, Mix flour, baking soda, and salt in a bowl. Beat eggs, sugar, and vegetable oil together in another bowl; stir in yogurt, lemon zest, lemon juice, and vanilla extract. Gradually stir flour mixture into wet ingredients until just moistened; fold zucchini and pistachios into batter. Pour batter evenly into prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 45 to 55 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.
",293,15g ,35g ,5g 
Gluten-Free Zucchini Bread,15 mins, 1 hr,5 mins,"diced zucchini,canola oil,eggs,gluten-free vanilla extract,white sugar,white rice flour,sweet rice flour,cornstarch,tapioca starch,baking powder,ground cinnamon,baking soda,xanthan gum,salt,confectioners' sugar,lemon juice"," Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.
, Combine zucchini, oil, eggs, and vanilla in a blender; pulse until mixture resembles a milkshake.
, Whisk sugar, rice flours, cornstarch, tapioca starch, baking powder, cinnamon, baking soda, xanthan gum, and salt together in a large bowl. Stir in zucchini mixture until batter is well blended; pour into the prepared loaf pan.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. Cool in the pan for a few minutes before removing to cool completely on a wire rack.
, While the bread is cooling, make the glaze: Mix confectioners' sugar and lemon juice together in a small bowl to form a thin glaze. Drizzle over the cooled loaf.
",284,12g ,42g ,2g 
Farm Fresh Zucchini Cranberry Nut Muffins,20 mins,25 mins,45 mins,"all-purpose flour,brown sugar,butter,white sugar,margarine, softened,egg,vanilla extract,all-purpose flour,baking powder,baking soda,salt,grated zucchini,cranberries,walnut pieces"," Preheat the oven to 375 degrees F (190 degrees C). Line a 12-cup muffin tin with liners.
, Make the topping: Mix flour and brown sugar together in a bowl. Cut in butter until the mixture resembles pea-sized crumbs.
, Make the muffins: Beat sugar and margarine in a large bowl with an electric mixer until light and fluffy. Beat in egg and vanilla.
, Mix flour, baking powder, baking soda, and salt together in a separate bowl; gradually beat into butter mixture. Fold in zucchini, cranberries, and walnuts. Spoon batter into the prepared muffin cups, filling nearly to the top. Sprinkle topping over each muffin.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 25 minutes.
",278,13g ,38g ,3g 
Zucchini Raisin Muffins,15 mins,25 mins,40 mins,"all-purpose flour,salt,ground nutmeg,baking soda,baking powder,white sugar,vegetable oil,large egg,grated zucchini,raisins"," Preheat the oven to 350 degrees F (175 degrees C). Line a 12-cup muffin tin with paper liners.
, Mix flour, salt, nutmeg, baking soda, and baking powder together in a bowl.
, Beat sugar, vegetable oil, and egg in a large bowl with an electric mixer. Fold in zucchini and raisins, then stir in flour mixture until combined. Spoon batter into the prepared muffin cups, filling each about 2/3 full.
, Bake in the preheated oven until muffins are golden and the tops spring back when lightly pressed, about 25 minutes.
",118,5g ,17g ,2g 
Honey Butter Zucchini Bread,25 mins, 1 hr, 1 hr 25 mins,"self-rising flour,ground cinnamon,salt,ground nutmeg,white sugar,vegetable oil,melted butter,honey,eggs,vanilla extract,grated unpeeled zucchini,chopped walnuts,flaked coconut"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Stir flour, cinnamon, nutmeg, and salt together in a bowl until blended.
, Whisk sugar, oil, melted butter, honey, eggs, and vanilla together in a large bowl. Stir in zucchini, walnuts, and coconut. Add flour mixture and stir until well combined. Divide batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 1 hour. Cool completely. If desired, store loaves overnight in plastic bags for the best flavor.
",315,16g ,41g ,4g 
Pumpkin Zucchini Bread ,20 mins,40 mins,30 mins,"all-purpose flour,pumpkin pie spice,salt,baking soda,baking powder,eggs,white sugar,vegetable oil,canned or pureed pumpkin,vanilla extract,grated zucchini,chopped walnuts (Optional)"," Preheat the oven to 325 degrees F (165 degrees C). Grease and flour 2 8x8-inch baking dishes.
, Sift flour, pumpkin pie spice, salt, baking soda, and baking powder together in a large bowl.
, Beat eggs, sugar, vegetable oil, pumpkin, and vanilla extract together in a second bowl until mixture is smooth and creamy. Stir wet ingredients into flour mixture until combined; gently fold in zucchini and walnuts. Divide batter into the prepared baking dishes.
, Bake in the preheated oven until cakes are lightly browned and a toothpick inserted into the center comes out clean, 40 to 60 minutes. Allow to cool on rack for 20 minutes before removing from pans to finish cooling.
",435,17g ,65g ,7g 
Citrus Cranberry Zucchini Bread,15 mins,50 mins,30 mins,"all-purpose flour,baking soda,baking powder,white sugar,eggs,vegetable oil,shredded zucchini,dried cranberries,orange, zested,lemon extract,ground cinnamon,ground cloves,ground nutmeg,salt,ground ginger"," Preheat the oven to 325 degrees F (165 degrees C). Grease two 8x4-inch loaf pans.
, Combine flour, baking soda, and baking powder in a bowl.
, Beat sugar and eggs in a large bowl with an electric mixer until well combined; beat in oil. Stir in zucchini, cranberries, orange zest, and lemon extract, then stir in cinnamon, cloves, nutmeg, salt, and ginger. Stir flour mixture into zucchini mixture until batter is well blended. Pour into the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, 50 to 60 minutes. Cool in the pans for 10 minutes before removing to a wire rack to cool completely, about 20 more minutes.
",283,12g ,42g ,3g 
Zucchini Carrot Bread,15 mins, 1 hr, 1 hr 15 mins,"all-purpose flour,ground cinnamon,salt,baking soda,baking powder,ground nutmeg,allspice,white sugar,unsweetened applesauce,eggs,grated zucchini,grated carrots"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Mix flour, cinnamon, salt, baking soda, baking powder, nutmeg, and allspice together in a bowl. Beat sugar, applesauce, and eggs together in a separate bowl. Mix wet ingredients into dry ingredients until just combined, then fold in zucchini and carrots. Divide batter between the prepared loaf pans.
, Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 1 hour.
",184,1g ,40g ,4g 
Southern Summer Squash Pudding,15 mins, 1 hr 5 mins,30 mins,"peeled, seeded, and diced yellow squash,white sugar,milk,egg, beaten,butter, melted,lemon extract,self-rising flour"," Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add squash, cover, and steam until tender, 2 to 6 minutes. Transfer squash to a bowl and mash with a fork or potato masher until smooth.
, Preheat oven to 350 degrees F (175 degrees C). Generously grease a 9x13-inch baking dish.
, Combine sugar, milk, egg, butter, and lemon extract in a large bowl. Gradually sift flour into milk mixture. Fold mashed squash into milk mixture until batter is smooth. Pour batter into prepared baking dish.
, Bake in the preheated oven until air bubbles form on the surface and pudding is golden brown, about 1 hour. Chill in the refrigerator until firm; cut into bars.
",85,1g ,17g ,1g 
"Carrot, Apple, and Zucchini Muffins",30 mins,20 mins,50 mins,"cooking spray,shredded unpeeled zucchini,shredded carrots,apple, cored and shredded,nonfat plain yogurt,sucralose and brown sugar blend (such as Splenda® brown sugar blend),eggs,unsweetened applesauce,skim milk,canola oil,lemon, zest only,orange, zest only,all-purpose flour,whole wheat flour,baking powder,baking soda,salt,ground cinnamon,ground nutmeg,ground allspice,chopped walnuts"," Preheat oven to 350 degrees F (175 degrees C). Coat 24 muffin cups with cooking spray.
, Stir zucchini, carrots, and apple together in a large bowl. Mix in yogurt, sucralose and brown sugar blend, eggs, applesauce, skim milk, canola oil, lemon zest, and orange zest until thoroughly combined.
, Whisk all-purpose flour, whole wheat flour, baking powder, baking soda, salt, cinnamon, nutmeg, and allspice in a separate bowl. Gently stir dry ingredients into wet ingredients until just combined. Fold walnuts into batter. Pour batter into prepared muffin cups.
, Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, 20 to 25 minutes.
",135,4g ,22g ,4g 
Zucchini Bread with Brown Sugar,15 mins, 1 hr, 1 hr 15 mins,"eggs,vegetable oil,packed brown sugar,grated zucchini,vanilla extract,all-purpose flour,ground cinnamon,baking powder,baking soda,salt,raisins,chopped walnuts"," Preheat the oven at 325 degrees F (165 degrees C). Grease and flour two 9x5-inch loaf pans.
, Beat eggs well in a large bowl. Add oil, brown sugar, zucchini, and vanilla; stir well. Blend in flour, cinnamon, baking powder, soda, and salt. Stir in raisins and nuts. Pour batter into prepared loaf pans.
, Bake in the preheated oven until a cocktail stick inserted into the center of the cake comes out clean, about 1 hour.
",213,9g ,30g ,3g 
Moistest Sugar-Free Zucchini Muffins Ever,15 mins,20 mins,35 mins,"cooking spray,ripe banana, mashed,unsalted butter, melted,egg,coconut oil, melted,shredded zucchini,vanilla extract,whole wheat flour,baking soda,ground cinnamon,ground nutmeg (Optional),salt,milk,brown sugar (Optional)"," Preheat the oven to 350 degrees F (175 degrees C). Grease a 12-cup muffin tin with cooking spray.
, Mix banana, butter, egg, and coconut oil together in a large bowl until well combined. Add zucchini and vanilla; mix well.
, Combine flour, baking soda, cinnamon, nutmeg, and salt in a separate bowl. Gradually add flour mixture to zucchini mixture, stirring until well combined. Slowly stir in milk until incorporated. Scoop 1/4 cup batter into each prepared muffin cup. Sprinkle each muffin with 1 teaspoon brown sugar.
, Bake in the preheated oven until the tops spring back when lightly pressed, about 20 minutes.
",136,6g ,18g ,4g 
Zucchini Bread in a Jar,30 mins, 1 hr, 2 hrs,"raisins,hot water,shortening for greasing,white sugar,shortening,eggs,all-purpose flour,ground cinnamon,baking soda,salt,baking powder,finely shredded zucchini,chopped walnuts (Optional),vanilla extract"," Preheat the oven to 325 degrees F (165 degrees C). Soak raisins in hot water until plump, about 10 minutes. Drain.
, Meanwhile, inspect four pint-sized jars for cracks and rings for rust, discarding any defective ones. Wash jars and new, unused lids and rings in warm soapy water, then dry and grease with 1 tablespoon shortening.
, Beat sugar, 1 cup shortening, and eggs in a large bowl with an electric mixer until creamy. Beat in raisins. Add flour, cinnamon, baking soda, salt, and baking powder; beat until blended. Fold in zucchini, walnuts, and vanilla.
, Pour batter into the prepared jars, filling each one 2/3 full. Arrange jars on a rimmed baking sheet.
, Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour. Turn the oven off but keep the jars inside. Remove one jar at a time using oven mitts. Trim off any excess cake from the top. Wipe the rims and screw on the lids.
, Place jars several inches apart on a cloth-covered or wood surface and let cool completely until sealed, about 2 hours. Store in the refrigerator.
",1393,79g ,164g ,18g 
Zucchini Bread,20 mins, 1 hr 20 mins, 1 hr 40 mins,"all-purpose flour,ground cinnamon,baking soda,baking powder,white sugar,vegetable oil,eggs,grated zucchini,sour cream,semisweet chocolate chips"," Preheat the oven to 350 degrees F (175 degrees C). Grease two 9x5-inch loaf pans.
, Mix flour, cinnamon, baking powder, and baking soda together in a bowl.
, Beat sugar, oil, and eggs with an electric mixer in a large bowl until well combined. Blend in grated zucchini, followed by sour cream. Mix in dry ingredients until combined. Stir in chocolate chips. Pour batter into the prepared pans.
, Bake in the preheated oven until a tester inserted into the center of each loaf comes out clean, about 1 1/2 hours.
, Remove from the oven and cool loaves on a wire rack.
",298,15g ,40g ,3g 
